날짜,score
2022-06-01,38.918779274004685
2022-06-02,28.71866800954939
2022-06-03,32.634571561051004
2022-06-04,40.270143599195706
2022-06-05,37.63444193817878
2022-06-06,40.36753586862576
2022-06-07,35.70004618885097
2022-06-08,35.6118772845953
2022-06-09,36.226128205128205
2022-06-10,38.81911604959832
2022-06-11,34.043618619246864
2022-06-12,34.362584779706275
2022-06-13,41.63206819052483
2022-06-14,40.89323563416738
2022-06-15,41.002991226058036
2022-06-16,38.10450068101335
2022-06-17,40.94595666561614
2022-06-18,37.848969425119
2022-06-19,36.900900551102204
2022-06-20,42.574040410827415
2022-06-21,40.11214243943191
2022-06-22,40.14958063338505
2022-06-23,42.09404080448656
2022-06-24,40.57894397410359
2022-06-25,36.191615063593005
2022-06-26,38.235628578244274
2022-06-27,39.24936278720206
2022-06-28,36.7958460359624
2022-06-29,39.40797726038556
2022-06-30,41.615310802833534
