,날짜,score,거래회전율,환율,fg_score
0,2022-06-01,38.918779274004685,,,38.918779274004685
1,2022-06-02,28.71866800954939,19.9242946,43.6,30.747654203183128
2,2022-06-03,32.634571561051004,0.0,41.4666667,24.70041275368367
3,2022-06-04,40.270143599195706,,,40.270143599195706
4,2022-06-05,37.63444193817878,,,37.63444193817878
5,2022-06-06,40.36753586862576,,,40.36753586862576
6,2022-06-07,35.70004618885097,23.5203028,43.15,34.12344966295032
7,2022-06-08,35.6118772845953,10.3492774,40.4833333,28.81482932819843
8,2022-06-09,36.226128205128205,34.377150699999994,40.7666667,37.1233152017094
9,2022-06-10,38.81911604959832,25.6366139,40.400000000000006,34.95190998319944
10,2022-06-11,34.043618619246864,,,34.043618619246864
11,2022-06-12,34.362584779706275,,,34.362584779706275
12,2022-06-13,41.63206819052483,31.4263593,39.0,37.352809163508276
13,2022-06-14,40.89323563416738,33.0437027,35.6666667,36.534535011389124
14,2022-06-15,41.00299122605804,33.456641399999995,35.05,36.50321087535268
15,2022-06-16,38.10450068101335,29.946662099999998,34.7833333,34.27816536033779
16,2022-06-17,40.94595666561614,41.4573297,35.9833333,39.46220655520538
17,2022-06-18,37.848969425119,,,37.848969425119
18,2022-06-19,36.90090055110221,,,36.90090055110221
19,2022-06-20,42.574040410827415,36.4504474,35.4166667,38.14705150360914
20,2022-06-21,40.11214243943191,26.1183758,34.7166667,33.6490616464773
21,2022-06-22,40.14958063338505,31.529593900000002,34.9,35.526391511128345
22,2022-06-23,42.09404080448656,38.5323469,34.050000000000004,38.225462568162186
23,2022-06-24,40.57894397410359,28.897109399999998,33.216666700000005,34.23090669136786
24,2022-06-25,36.191615063593005,,,36.191615063593005
25,2022-06-26,38.235628578244274,,,38.235628578244274
26,2022-06-27,39.24936278720206,22.642808,33.4333333,31.775168029067355
27,2022-06-28,36.7958460359624,13.9194769,35.7333333,28.8162187453208
28,2022-06-29,39.40797726038556,21.5932553,35.85,32.28374418679519
29,2022-06-30,41.615310802833534,28.2518926,34.5166667,34.79462336761118
